Id;Date;CaptureYear;FishLength;FishWeight;Sex;Origin;ReadingAge;Age;Reader;LT;L1;L2;L3;L4;L5
FZ162;18/02/2021;2021;305;235;F;Rives;4;4;Raphael;1067.717;504.536666666667;642.577;868.489666666667;1067.717;
FZ182;17/02/2021;2021;335;314;M;Rives;4;4;Raphael;990.996;505.162666666667;639.014;846.769666666667;990.996;
FZ294;04/04/2021;2021;310;225;F;Rives;4;4;Raphael;1063.27966666667;455.596666666667;642.828;872.294;1063.27966666667;
FZ011;06/07/2021;2021;350;370;F;Rives;4+;4;Raphael;1083.891;432.302666666667;607.590666666667;810.152333333333;976.23966666667;
FZ028;03/06/2021;2021;300;216;M;Rives;4+;4;Raphael;900.848;513.113666666667;533.343666666667;704.891666666667;823.776333333333;
FZ106;16/06/2021;2021;330;280;F;Rives;4+;4;Raphael;1021.95533333333;556.032;623.231666666667;805.973333333333;934.341666666667;
FZ135;31/05/2021;2021;330;300;F;Rives;4;4;Raphael;1222.926;381.196333333333;755.463666666667;1028.29066666667;1222.926;
FZ001;08/05/2021;2021;300;220;M;Rives;4+;4;Raphael;883.703333333333;446.464333333333;496.150333333333;692.974333333333;806.347666666667;
FZ070;23/03/2021;2021;310;232;NA;Rives;4;4;Raphael;936.883;442.949;573.243;786.564333333333;936.883;
FZ076;07/09/2021;2021;310;272;F;Rives;4+;4;Raphael;953.11266666667;498.474666666667;542.277333333333;715.681333333333;855.833666666667;
FZ251;26/02/2021;2021;340;345;F;Rives;4;4;Raphael;1067.437;452.700333333333;647.366333333333;860.985333333333;1067.437;
FZ152;24/03/2021;2021;330;251;F;Rives;4;4;Raphael;954.78233333333;441.751;609.632666666667;814.638;954.78233333333;
FZ205;18/03/2021;2021;330;250;M;Rives;4;4;Raphael;977.623;471.751;594.273333333333;842.414;977.623;
FZ249;01/07/2021;2021;315;250;F;Rives;4+;4;Raphael;1004.74266666667;469.474333333333;591.137333333333;797.370333333333;946.638333333333;
FZ186;23/02/2021;2021;340;335;F;Puya;5;5;Raphael;1027.21766666667;487.970666666667;628.921333333333;790.738333333333;910.709666666667;1027.21766666667
FZ142;06/04/2021;2021;310;280;M;Puya;4;4;Raphael;1052.70366666667;513.259;673.774;901.604666666667;1052.70366666667;
FZ146;18/04/2021;2021;310;240;F;Puya;4;4;Raphael;1025.705;516.962333333333;684.378666666667;864.064;1025.705;
FZ023;28/05/2021;2021;360;390;M;Puya;5;5;Raphael;1162.74433333333;531.892333333333;739.668333333333;943.181;1056.173;1162.74433333333
FZ455;06/09/2021;2021;420;700;F;Puya;4+;4;Raphael;1395.442;643.131666666667;885.719;1161.19233333333;1302.772;
FZ352;02/04/2021;2021;310;240;M;Puya;5;5;Raphael;1192.55;552.208666666667;737.119333333333;934.197;1065.89833333333;1192.55
FZ027;02/06/2021;2021;330;350;F;Puya;4+;4;Raphael;1179.93766666667;521.648333333333;707.252333333333;926.55;1091.59333333333;
FZ508;11/08/2021;2021;308;232;F;Puya;4+;4;Raphael;1089.51033333333;503.793;679.225666666667;873.405333333333;1001.188;
FZ324;30/03/2021;2021;340;320;M;Puya;5;5;Raphael;1046.40766666667;520.56;672.346;812.576333333333;928.797666666667;1046.40766666667
FZ309;29/03/2021;2021;320;260;M;Puya;4;4;Raphael;1165.60733333333;561.028;752.002666666667;964.895666666667;1165.60733333333;
FZ402;22/04/2021;2021;310;210;F;Puya;3;3;Raphael;971.151333333333;519.064666666667;755.281333333333;971.151333333333;;
FZ004;11/06/2021;2021;320;240;F;Puya;4+;4;Raphael;1087.05466666667;558.016;753.681333333333;911.640666666667;1028.78033333333;
FZ310;31/03/2021;2021;310;250;F;Puya;4;4;Raphael;1040.532;522.936;712.889333333333;895.237;1040.532;
FZ209;21/03/2021;2021;350;335;F;Puya;4;4;Raphael;1077.71033333333;541.969333333333;761.622;941.164333333333;1077.71033333333;
FZ212;27/03/2021;2021;320;230;NA;Puya;5;5;Raphael;1155.72966666667;557.016333333333;742.863333333333;918.701;1035.932;1155.72966666667
