Id;Date;CaptureYear;FishLength;FishWeight;Sex;Origin;ReadingAge;Age;Reader;LT;L1;L2;L3;L4;L5;L6
AH782;23/09/2023;2023;350;410;F;Rives;4+;4;Raphael;1575.721333;616.7653333;1007.133333;1224.563333;1416.613667;;
AH812;12/06/2023;2023;305;270;M;Rives;;5;Raphael;1694.303333;660.2823333;1000.169667;1249.273667;1443.080667;1618.372;
AH814;29/06/2023;2023;380;520;M;Rives;;5;Raphael;1524.885667;602.23;884.7163333;1099.847667;1275.678667;1436.839667;
AH817;17/07/2023;2023;340;390;M;Rives;5+;5;Raphael;1407.07;558.7976667;808.0413333;982.5846667;1183.967333;1343.65;
AH842;06/07/2023;2023;300;220;F;Rives;5+;5;Raphael;1362.218667;502.512;812.0073333;999.4383333;1132.942333;1282.145;
AH866;26/07/2023;2023;340;350;M;Rives;4+;4;Raphael;1439.49;556.258;895.5493333;1105.674667;1280.911333;;
AH870;21/08/2023;2023;340;350;M;Rives;4+;4;Raphael;1558.346;553.887;913.4066667;1164.585333;1380.251;;
AH884;21/05/2023;2023;340;337;F;Rives;;5;Raphael;1570.451667;577.218;939.8156667;1177.574667;1384.936667;1570.451667;
AH888;26/05/2023;2023;310;274;F;Rives;;3;Raphael;1451.674;566.3723333;1063.1;1383.079;;;
AH890;30/05/2023;2023;320;259;M;Rives;;3;Raphael;1300.733667;518.3503333;897.8796667;1216.210333;;;
AH893;12/06/2023;2023;310;239;M;Rives;;3;Raphael;1437.777333;622.6153333;972.9803333;1246.031333;;;
FZ681;27/04/2023;2023;395;501;F;Rives;6;6;Raphael;1626.016333;614.3896667;885.4543333;1094.219;1303.736333;1469.383;1626.016333
FZ682;27/04/2023;2023;310;255;F;Rives;5;5;Raphael;1352.607333;466.875;753.8533333;982.9916667;1161.649333;1352.607333;
FZ683;27/04/2023;2023;316;277;F;Rives;4;4;Raphael;1476.230333;584.369;991.278;1276.526333;1476.230333;;
FZ684;28/04/2023;2023;360;412;F;Rives;4;4;Raphael;1552.211;645.235;1036.108;1306.137;1552.211;;
FZ905;15/09/2023;2023;330;346;M;Rives;4+;4;Raphael;1366.680333;529.4753333;818.3546667;990.102;1186.627333;;
FZ906;15/09/2023;2023;350;451;F;Rives;4+;4;Raphael;1366.133667;528.17;853.4153333;1070.493333;1236.118333;;
FZ923;21/07/2023;2023;310;245;M;Rives;3+;3;Raphael;1372.462667;518.926;929.0783333;1191.528;;;
FZ926;08/08/2023;2023;350;408;F;Rives;4+;4;Raphael;1571.948333;637.0343333;969.1926667;1217.841667;1409.139667;;
